Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
645be5908c80c4ee0a951f54,5b1946322767e20001e4e23d,APPROVED,2023-05-10T18:42:32.651000Z,2023-05-10T18:57:29.619000Z,2023-05-10T18:57:36.283000,2023-05-10T18:57:31.120866Z,897,C1ISGV6W,122,English,28,Female,White,United States,United States,United States,English,No,Full-Time
645be5939db3f34f84261d66,63ced19b7422296653437e30,APPROVED,2023-05-10T18:42:37.095000Z,2023-05-10T18:57:53.782000Z,2023-05-11T14:47:28.737000,2023-05-10T18:57:54.656969Z,917,NOCODE,706,"English, Spanish",34,Male,White,United States,United States,United States,English,No,Full-Time
645be598a80237b01c11ab28,6109dc13ff3d4be24267e74d,APPROVED,2023-05-10T18:42:35.648000Z,2023-05-10T19:05:22.509000Z,2023-05-10T19:05:26.064000,2023-05-10T19:05:25.938022Z,1367,C3E2LD8X,471,English,22,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
645be5b40d741363862d088e,5bd47734506cd3000101d181,APPROVED,2023-05-10T18:43:15.451000Z,2023-05-10T19:33:23.325000Z,2023-05-10T19:33:24.613000,2023-05-10T19:33:24.079301Z,3008,C3E2LD8X,1906,English,33,Male,White,United States,United States,United States,English,DATA_EXPIRED,Part-Time
645be5bfa4a4cf2f604a257f,5fd4ebfabf40a22bd1ffd8db,APPROVED,2023-05-10T18:43:14.044000Z,2023-05-10T19:02:53.017000Z,2023-05-10T19:02:53.853000,2023-05-10T19:02:53.734017Z,1179,CJ5RNK30,47,English,32,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
645be5d3970d738cb7fe2c43,63614ad9841a7d16ad04512a,APPROVED,2023-05-10T18:43:37.944000Z,2023-05-10T19:11:05.352000Z,2023-05-10T19:11:06.271000,2023-05-10T19:11:06.168498Z,1648,CJ5RNK30,440,English,24,Male,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
645be5f97d9ea0f360921779,5f852dee17ab6c2136ac62e4,APPROVED,2023-05-10T18:44:17.562000Z,2023-05-10T19:01:57.657000Z,2023-05-10T19:02:03.468000,2023-05-10T19:01:58.324693Z,1061,CJ5RNK30,1800,English,23,Female,White,United States,United States,United States,English,Yes,Unemployed (and job seeking)
645be60fa6562874bf0bf8ab,636558deffacf6b4af41ae6b,APPROVED,2023-05-10T18:44:36.480000Z,2023-05-10T19:03:44.068000Z,2023-05-10T19:03:47.084000,2023-05-10T19:03:46.976082Z,1148,CJ5RNK30,770,English,27,Male,White,United States,United States,United States,English,No,Full-Time
645be62d6b40806b9038f7f2,5f485110eae1181f66370df8,APPROVED,2023-05-10T18:45:10.722000Z,2023-05-10T19:24:19.396000Z,2023-05-11T15:04:29.922000,2023-05-10T19:24:20.366559Z,2349,NOCODE,1344,English,61,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
645be633d618845d5b30e471,636148b49f7e6e857fde4001,APPROVED,2023-05-10T18:45:48.036000Z,2023-05-10T19:08:51.451000Z,2023-05-10T19:08:52.777000,2023-05-10T19:08:52.669077Z,1384,C3E2LD8X,859,English,42,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
645be66495dbc10a97ce9365,63652b3ed1f35f8e04325845,APPROVED,2023-05-10T18:46:01.388000Z,2023-05-10T19:16:18.291000Z,2023-05-10T19:16:19.051000,2023-05-10T19:16:18.930740Z,1817,C3E2LD8X,318,English,45,Male,White,Germany,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
645be67f0db7169aaa0e4754,64551d250ef342507eb0edf9,APPROVED,2023-05-10T18:46:26.875000Z,2023-05-10T19:05:19.279000Z,2023-05-10T19:05:21.097000,2023-05-10T19:05:20.981945Z,1133,CJ5RNK30,8,English,25,Male,Black,United States,United States,United States,English,Yes,Unemployed (and job seeking)
645be683cac55de643d0336a,5ec14623eb82d302356805c5,APPROVED,2023-05-10T18:46:31.613000Z,2023-05-10T19:06:08.619000Z,2023-05-12T14:27:36.024000,2023-05-10T19:06:09.354929Z,1178,NOCODE,231,English,36,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
645be69a0518e0814720999c,5f8737c71a44ac11b9481ab8,RETURNED,2023-05-10T18:47:57.414000Z,2023-05-10T19:29:55.402000Z,,2023-05-10T19:29:56.290000Z,,NOCODE,780,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
